set,key,clicked,attributed
train_sample,1,3135,0
train_sample,2,11737,0
train_sample,3,18279,4
train_sample,4,58,0
train_sample,5,188,14
train_sample,6,1303,0
train_sample,7,981,0
train_sample,8,2004,4
train_sample,9,8992,8
train_sample,10,388,18
train_sample,11,1927,2
train_sample,12,13198,1
train_sample,13,2422,0
train_sample,14,5359,0
train_sample,15,8595,2
train_sample,16,3,0
train_sample,17,380,0
train_sample,18,8315,5
train_sample,19,478,70
train_sample,20,911,1
train_sample,21,1979,0
train_sample,22,386,0
train_sample,23,1454,0
train_sample,24,704,0
train_sample,25,804,0
train_sample,26,1633,0
train_sample,27,696,0
train_sample,28,720,0
train_sample,29,360,22
train_sample,30,2,0
train_sample,31,1,0
train_sample,32,286,1
train_sample,33,11,0
train_sample,34,3,2
train_sample,35,49,27
train_sample,36,102,0
train_sample,37,37,0
train_sample,38,15,0
train_sample,39,16,3
train_sample,42,3,0
train_sample,43,10,0
train_sample,44,13,0
train_sample,45,36,11
train_sample,46,14,0
train_sample,47,53,0
train_sample,48,3,1
train_sample,49,2,0
train_sample,50,6,1
train_sample,52,3,0
train_sample,53,3,0
train_sample,54,2,0
train_sample,55,48,0
train_sample,56,50,0
train_sample,58,44,1
train_sample,59,7,0
train_sample,60,21,1
train_sample,61,3,0
train_sample,62,30,2
train_sample,64,1079,0
train_sample,65,18,0
train_sample,66,9,0
train_sample,67,5,0
train_sample,68,10,0
train_sample,70,2,0
train_sample,71,2,2
train_sample,72,16,6
train_sample,74,7,0
train_sample,75,3,0
train_sample,76,6,0
train_sample,78,1,0
train_sample,79,2,0
train_sample,80,2,0
train_sample,81,2,0
train_sample,82,21,0
train_sample,83,21,3
train_sample,84,6,1
train_sample,85,2,0
train_sample,86,4,0
train_sample,87,2,0
train_sample,88,5,0
train_sample,91,1,0
train_sample,92,1,0
train_sample,93,35,0
train_sample,94,40,0
train_sample,95,5,0
train_sample,96,1,1
train_sample,97,1,0
train_sample,99,1,0
train_sample,100,1,0
train_sample,101,4,0
train_sample,103,10,2
train_sample,104,2,0
train_sample,105,1,0
train_sample,107,19,2
train_sample,108,3,2
train_sample,109,10,0
train_sample,110,13,0
train_sample,112,1,0
train_sample,115,1,1
train_sample,116,1,1
train_sample,117,5,0
train_sample,118,2,0
train_sample,119,5,0
train_sample,121,3,0
train_sample,122,2,0
train_sample,123,1,0
train_sample,124,1,0
train_sample,125,8,1
train_sample,133,1,0
train_sample,134,4,0
train_sample,137,2,0
train_sample,139,2,0
train_sample,145,1,1
train_sample,146,3,0
train_sample,148,2,0
train_sample,149,2,0
train_sample,150,73,0
train_sample,151,109,0
train_sample,158,2,0
train_sample,160,16,0
train_sample,161,2,0
train_sample,163,1,0
train_sample,165,2,0
train_sample,168,1,0
train_sample,170,8,0
train_sample,171,1,0
train_sample,176,2,0
train_sample,181,3,0
train_sample,183,26,0
train_sample,190,1,0
train_sample,192,1,0
train_sample,202,6,1
train_sample,204,2,0
train_sample,208,13,1
train_sample,215,4,0
train_sample,216,1,0
train_sample,232,9,0
train_sample,233,1,0
train_sample,261,1,1
train_sample,266,2,0
train_sample,267,1,0
train_sample,268,1,0
train_sample,271,1,0
train_sample,273,3,0
train_sample,293,1,0
train_sample,302,1,0
train_sample,310,3,0
train_sample,315,4,0
train_sample,347,1,0
train_sample,363,2,0
train_sample,372,1,0
train_sample,394,2,0
train_sample,398,1,0
train_sample,407,1,0
train_sample,425,2,0
train_sample,474,1,0
train_sample,486,1,0
train_sample,536,1,0
train_sample,538,1,0
train_sample,548,1,0
train_sample,551,1,0
